start_station_name,member_casual,rides_total,avg_trip_duration,max_trip_duration,min_trip_duration
Fairbanks Ct & Grand Ave,casual,6368,27.512248743718597,1185,1
Elston Ave & Cortland St,member,6362,11.075447972335745,270,1
Lake Park Ave & 56th St,member,6341,11.417757451506072,1266,1
Clark St & Bryn Mawr Ave,member,6293,12.13062132528206,563,1
Orleans St & Hubbard St,member,6291,9.1190589731362266,1439,1
Ogden Ave & Race Ave,member,6282,11.512893982808025,976,1
State St & Van Buren St,member,6241,12.085723441756132,914,1
State St & Randolph St,casual,6236,24.088357921744709,1329,1
St. Clair St & Erie St,casual,6191,28.74737522209659,1407,1
Orleans St & Chestnut St (NEXT Apts),member,6182,8.6260109996764776,327,1
State St & Pearson St,member,6173,12.185323181597282,712,1
Wilton Ave & Diversey Pkwy,casual,6144,14.127604166666666,1193,1
Clinton St & Madison St,casual,6114,16.701504743212304,1376,1
Michigan Ave & 18th St,member,6077,12.831660358729637,595,1
Broadway & Argyle St,member,6064,13.425791556728232,1204,1
Wabash Ave & 16th St,member,6046,12.662917631491899,1089,1
Stockton Dr & Wrightwood Ave,casual,6043,22.878702631143469,1425,1
Bissell St & Armitage Ave*,member,6032,10.878978779840851,1336,1
Eckhart Park,member,5985,11.175104427736008,462,1
LaSalle St & Washington St,member,5959,11.77882194999161,1422,1
Shore Dr & 55th St,member,5937,17.683510190331813,1140,1
Sheffield Ave & Wellington Ave,casual,5922,16.534954407294833,1439,1
Clark St & Schiller St,casual,5901,19.346551431960687,1415,1
Throop St & Taylor St,member,5856,9.1448087431694,1439,1
Larrabee St & Armitage Ave,member,5840,10.950000000000001,813,1
Clark St & Wellington Ave,casual,5819,15.939680357449735,1360,1
State St & 35th St,member,5818,9.9176693021656916,959,1
Dusable Harbor,member,5816,20.932599724896836,435,1
Clark St & Grace St,casual,5775,18.135238095238094,1440,1
Sheridan Rd & Irving Park Rd,casual,5767,16.025836656840646,1430,1
Wabash Ave & Wacker Pl,casual,5753,29.940205110377203,1439,1
Broadway & Belmont Ave,casual,5747,19.315990951800938,1224,1
Morgan St & Lake St*,member,5744,10.602019498607243,662,1
Clark St & Ida B Wells Dr,member,5705,10.902892199824718,641,1
Michigan Ave & Madison St,member,5678,12.871081366678405,922,1
